"TABLENAME","CNNAME","KINDS","PKCOLUMN","MEMO"
"GPCS_PLACECENTERTOST","","1","PLACECENTERTOSTID",""
"GPCS_PLACECENTERTOST_V","","2","",""
"GPCS_PLACEDECISION_LOGS","配送决策日志信息","1","SEQID",""
"GPCS_PLACEPOINT","门店信息表","1","PLACEPOINTID",""
"GPCS_PLACEPOINT_HOV_V","门店hov视图","2","",""
"GPCS_PLACEPOINT_V","门店信息视图","2","",""
"GPCS_PLACERETURN","配送退货总单","1","PLACERETURNID",""
"GPCS_PLACERETURN_DTLQTY_V","","2","",""
"GPCS_PLACERETURN_TRACK_QRY_V","","2","",""
"GPCS_PLACERETURN_V","配送退货总单","2","",""
"GPCS_PLACERETURNDTL","配送退货细单","1","PLACERETURNDTLID",""
"GPCS_PLACERETURNDTL_V","配送退货细单","2","",""
"GPCS_PLACESUPPLY","配送总单ID","1","PLACESUPPLYID",""
"GPCS_PLACESUPPLY_APPROVE_V","","2","",""
"GPCS_PLACESUPPLY_BILL","","1","GPCS_PLACESUPPLY_BILL_ID",""
"GPCS_PLACESUPPLY_DOC_RED_V","","2","",""
"GPCS_PLACESUPPLY_DTL_RED_V","","2","",""
"GPCS_PLACESUPPLY_DTLQRY_V","","2","",""
"GPCS_PLACESUPPLY_RED","","1","PLACESUPPLYID",""
"GPCS_PLACESUPPLY_RED_V","","2","",""
"GPCS_PLACESUPPLY_TINY","配送TINY表","1","PLACESUPPLYTINYID",""
"GPCS_PLACESUPPLY_TINY_UNREC","","1","TINYID",""
"GPCS_PLACESUPPLY_TINY_V","","2","",""
"GPCS_PLACESUPPLY_V","","2","",""
"GPCS_PLACESUPPLYDTL","配送细单","1","PLACESUPPLYDTLID",""
"GPCS_PLACESUPPLYDTL_FOROP_V","","2","",""
"GPCS_PLACESUPPLYDTL_FOROPDTL_V","手工配送细单","2","",""
"GPCS_PLACESUPPLYDTL_RED","","1","PLACESUPPLYDTLID",""
"GPCS_PLACESUPPLYDTL_RED_V","","2","",""
"GPCS_PLACESUPPLYDTL_ST","","1","PLACESUPPLYDTLSTID",""
"GPCS_PLACESUPPLYDTL_ST_V","配送细单保管帐","2","",""
"GPCS_PLACESUPPLYDTL_STDTL","","1","SEQID",""
"GPCS_PLACESUPPLYDTL_V","","2","",""
"GPCS_PLACESUPPLYDTLQRY_V","","2","",""
"GPCS_PLACETOACC_V","","2","",""
"GPCS_PPOINTGOODS_MANAGE_QRY_V","","2","",""
"GPCS_PRES_BLUR_POLICY","配送模糊赠策略表","1","POLICYID",""
"GPCS_PRES_BLUR_POLICY_V","配送模糊赠策略视图","2","",""
"GPCS_PRES_COMPOSE_POLICY","配送组合赠策略表","1","POLICYID",""
"GPCS_PRES_COMPOSE_POLICY_DTL","","1","POLICYDTLID",""
"GPCS_PRES_COMPOSE_POLICY_DTL_V","","2","",""
"GPCS_PRES_COMPOSE_POLICY_V","配送组合赠策略视图","2","",""
"GPCS_PRES_GOODS_POLICY","配送单品赠策略表","1","POLICYID",""
"GPCS_PRES_GOODS_POLICY_V","配送单品赠策略视图","2","",""
"GPCS_QUERYGOODSNOTLOT_V","","2","",""
"GPCS_RATE_DYNAMIC_SALE_C_V","","2","",""
"GPCS_RATE_DYNAMIC_SALE_V","","2","",""
"GPCS_REQ_MEET_RATE_V","门店配送满足率","2","",""
"GPCS_REQ_PLACEDOC","","1","REQSUPPLYDTLID,PLACESUPPLYDTLID",""
"GPCS_REQSUPPLY","请货总单","1","REQSUPPLYID",""
"GPCS_REQSUPPLY_TRACK_QRY_V","","2","",""
"GPCS_REQSUPPLY_V","请货总单","2","",""
"GPCS_REQSUPPLYDTL","请货细单","1","REQSUPPLYDTLID",""
"GPCS_REQSUPPLYDTL_QRY_V","","2","",""
"GPCS_REQSUPPLYDTL_QUERY_V","","2","",""
"GPCS_REQSUPPLYDTL_V","请货细单","2","",""
"GPCS_RETURN_NOTICE","退货通知单","1","NOTICEID",""
"GPCS_RETURN_NOTICE_DTL","","1","NOTICEDTLID",""
"GPCS_RETURN_NOTICE_POINT","配退通知门店列表","1","NOTICEPOINTID",""
"GPCS_RETURN_NOTICE_POINT_V","配退通知门店列表","2","",""
"GPCS_RETURN_NOTICE_V","退货通知单","2","",""
"GPCS_SHOP_AREA_DOC","区域定义表","1","AREADOCID",""
"GPCS_SHOP_AREA_DOC_V","","2","",""
"GPCS_SHOP_AREA_HOV_V","","2","",""
"GPCS_SHOPPE_DEF","专柜定义表","1","SHOPPEID",""
"GPCS_SHOPPE_DEF_V","专柜定义表","2","",""
"BI_COM_DTL_PARAM","","1","DTLID",""
"BI_COM_DTL_PARAM_V","","2","",""
"BI_COM_DTL_STRUCT","","1","DTLID",""
"BI_COM_DTL_STRUCT_V","","2","",""
"BI_COM_STRUCT","","1","STRUCTID,TYPEID",""
"BI_COM_STRUCT_V","","2","",""
"BI_COMMONCOM_ROLE_V","","2","",""
"BI_COMMONCOM_V","","2","",""
"BI_COMPONENT_V","","2","",""
"BI_DDL_DOC","","1","DOCID",""
"BI_DDL_DOC_V","","2","",""
"BI_DDL_DTL","","1","DTLID",""
"BI_DDL_DTL_V","","2","",""
"BI_PAGE_DOC","","1","PAGEID",""
"BI_PAGE_DOC_V","","2","",""
"BI_PAGE_DTL_COM","","1","DTLID",""
"BI_PAGE_DTL_COM_V","","2","",""
"BI_PAGE_DTL_CON","","1","QUERYCONDID",""
"BI_PAGE_DTL_CON_V","","2","",""
"BI_USER_MODULE_USED_V","","2","",""
"BI_USER_MODULES","","1","USERID,ROLEID,COMPONENTID,COMPONENTTYPE,LAYOUTTYPE",""
"BMS_ACC_DEF","往来账定义表","1","ACCID",""
"BMS_ACC_DOC","往来账分录表","1","SEQID",""
"BMS_ACC_DOC_V","往来账分录视图","2","",""
"BMS_ACC_REM","往来账余额表","1","SEQID",""
"BMS_ACC_REM_CALC_V","往来账余额视图","2","",""
"BMS_ACC_REM_V","往来帐余额表视图","2","",""
"BMS_ACC_SA_QUERY_COLLECT_V","销售业务往来帐汇总视图","2","",""
"BMS_ACC_SU_QUERY_COLLECT_V","销售业务往来帐汇总视图","2","",""
"BMS_ACC_SUM","往来账发生额表","1","SEQID",""
"BMS_ACC_SUM_V","销售毛利提成参数视图","2","",""
"BMS_ACC_V","往来账视图","2","",""
"BMS_AGENT_DEF","代理人明细表","1","AGENTID",""
"BMS_ALTER_GOODS_COMPARE_V","同类品种对比","2","",""
"BMS_ASSESS_CALCDEF","默认奖罚息定义视图","1","DEFID",""
"BMS_ASSESS_CALCDEF_V","默认奖罚息定义视图","2","",""
"BMS_ASSESS_CUSTOM_CALCDEF","客户奖罚息定义表","1","DEFID",""
"BMS_ASSESS_CUSTOM_CALCDEF_V","客户奖罚息定义视图","2","",""
"BMS_ASSESS_DATE","业务员考核表","1","SEQID",""
"BMS_ASSESS_DATE_DETAIL","业务员考核明细","1","SEQID",""
"BMS_ASSESS_DATE_DETAIL_V","业务员考核视图","2","",""
"BMS_ASSESS_DATE_V","奖息罚息视图","2","",""
"BMS_ASSESS_DEF","业务员考核维度定义","1","ASSESSEID",""
"BMS_ASSESS_DEF_V","考核参数总单视图","2","",""
"BMS_ASSESS_DOC","考核参数总单","1","DOCID",""
"BMS_ASSESS_DOC_V","考核参数总单视图","2","",""
"BMS_ASSESS_INTEREST","奖息罚息表","1","SEQID",""
"BMS_ASSESS_INTEREST_V","回款总额提成参数视图","2","",""
"BMS_ASSESS_LOGO","考核标识","1","SEQID",""
"BMS_ASSESS_REC","回款总额提成参数","1","DTLID",""
"BMS_ASSESS_REC_V","回款毛利提成参数视图","2","",""
"BMS_ASSESS_RECPRO","回款毛利提成参数","1","DTLID",""
"BMS_ASSESS_RECPRO_V","销售总额提成参数视图","2","",""
"BMS_ASSESS_SA","销售总额提成参数","1","DTLID",""
"BMS_ASSESS_SA_V","销售毛利提成参数视图","2","",""
"BMS_ASSESS_SAPRO","销售毛利提成参数","1","DTLID",""
"BMS_ASSESS_SAPRO_V","销售毛利提成参数视图","2","",""
"BMS_BATCH_DEF","货品批次表","1","BATCHID",""
"BMS_BATCH_DEF_V","货品批次视图","2","",""
"BMS_BFS_FLOW","供应商流向表","1","FLOWID",""
"BMS_BFS_FLOW_QUERY_V","供应商流向查询视图","2","",""
"BMS_BFS_FLOW_SA_QUERY_V","供应商流向销售查询视图","2","",""
"BMS_BFS_FLOW_V","供应商流向视图","2","",""
"BMS_BILL_DOC","发票总单视图","1","BILLID",""
"BMS_BILL_DOC_V","发票总单视图","2","",""
"BMS_BILL_DTL","发票细单表","1","BILLDTLID",""
"BMS_BILL_DTL_V","发票细单视图","2","",""
"BMS_BOXUP_DOC","","1","BOXDOCID",""
"BMS_BOXUP_DOC_V","","2","",""
"BMS_BOXUP_DTL","","1","BOXDTLID",""
"BMS_BOXUP_DTL_V","","2","",""
"BMS_BUSI_DEF","业务库存定义表","1","BUSIACCID",""
"BMS_BUSI_DEF_V","业务库存定义视图","2","",""
"BMS_BUSI_DTL","业务库存上下限设置表","1","BUSIACCID,GOODSID",""
"BMS_BUSI_DTL_V","业务库存上下限设置视图","2","",""
"BMS_BUSI_ONWAY_V","库存报警视图","2","",""
"BMS_BUSI_QTY_V","货品业务库存视图","2","",""
"BMS_BUSI_SEASON_GOODS_HOV_V","","2","",""
"BMS_BUSI_TO_STORAGE","业务库存细单表","1","BUSIACCID,STORAGEID",""
"BMS_BUSI_TO_STORAGE_V","业务库存细单视图","2","",""
"BMS_BUSISCOPE_DEF","经营范围预定义表","1","KEYID",""
"BMS_CALC_BUSI_STQTY_V","成本核算业务库存视图","2","",""
"BMS_CALC_LOG","成本核算日志表","1","SEQID",""
"BMS_CALC_LOG_V","成本核算日志视图","2","",""
"BMS_CALC_STORAGE_STQTY_V","","2","",""
"BMS_CALC_USEMM","存货帐对应逻辑月表","1","SEQID",""
"BMS_CERT_CLASS_DTL","","1","CERTCLASSID,BMSENTRYID",""
"BMS_CERT_DOC","传票表","1","CERTID",""
"BMS_CERT_DOC_V","传票视图","2","",""
"BMS_CERT_DTL_TMP","业务系统与财务核算系统接口表","1","TMPID",""
"BMS_CERT_DTL_UNION_V","传票分录视图","2","",""
"BMS_CERT_SA_SEND_TMP_V","手工生成进货结算传票视图","2","",""
"BMS_CERT_SA_TMP_V","手工生成存货视图","2","",""
"BMS_CERT_SADTL_TMP_V","","2","",""
"BMS_CERT_SK_TMP_V","手工生成进货结算传票视图","2","",""
"BMS_CERT_SU_TMP_V","供货目录视图","2","",""
"BMS_CERT_SUDTL_TMP_V","","2","",""
"BMS_CERT_TYPE","传票类型表","1","CERTTYPEID",""
"BMS_CERT_TYPE_V","传票类型视图","2","",""
"BMS_CHECK_DESK_MGR","","1","DESKID",""
"BMS_CHECK_DESK_MGR_V","","2","",""
"BMS_CNS_CONDTL_QRY_V","订单明细查询视图","2","",""
"BMS_CNS_CREDIT_QRY_V","信用额度视图","2","",""
"BMS_CNS_ENTRY","保管帐限定独立单元表","1","SEQID",""
"BMS_CNS_ENTRY_V","保管帐限定独立单元视图","2","",""
"BMS_CNS_FORBID_V","客户货品关联视图","2","",""
"BMS_CNS_GOODS_V","供货目录视图","2","",""
"BMS_CNS_SA_DTL_V","销售发货细单查询视图","2","",""
"BMS_CNS_ST","保管帐限定管理表","1","STSEQID",""
"BMS_CNS_ST_V","保管帐限定管理视图","2","",""
"BMS_CNS_UNREC_DTL_V","未收款明细查询视图","2","",""
"BMS_CREDIT_ADJUST_DOC","信誉额度调整总单","1","CREDIT_ADJUST_DOC_ID",""
"BMS_CREDIT_ADJUST_DOC_V","","2","",""
"BMS_CREDIT_ADJUST_DTL","信誉额度调整细单","1","CREDIT_ADJUST_DTL_ID",""
"BMS_CREDIT_ADJUST_DTL_V","","2","",""
"BMS_CREDIT_BILL_TMP","欠款单据临时表","1","SOURCETABLE,SOURCEID",""
"BMS_CREDIT_CANCEL_DOC","信誉额度取消","1","CREDITCANCELDOCID",""
"BMS_CREDIT_CANCEL_DOC_V","信誉额度取消总单","2","",""
"BMS_CREDIT_CANCEL_DTL","信誉额度取消细单","1","CREDITCANCELDTLID",""
"BMS_CREDIT_CANCEL_DTL_V","信誉额度取消细单","2","",""
"BMS_CREDIT_EXEC_ORDER","信誉额度执行顺序","1","ORDERID",""
"BMS_CREDIT_LEVEL_1","正式信誉额度第一级","1","SALERID,CUSTOMID,ENTRYID",""
"BMS_CREDIT_LEVEL_2","正式信誉额度第二级","1","SALERID,ENTRYID",""
"BMS_CREDIT_LEVEL_3","正式信誉额度第三级","1","SALERID,CUSTOMID",""
"BMS_CREDIT_LEVEL_4","正式信誉额度第四级","1","SALERID",""
"BMS_CREDIT_LEVEL_5","正式信誉额度第五级","1","CUSTOMID",""
"BMS_CREDIT_LEVEL_6","","1","ENTRYID,CUSTOMID",""
"BMS_CREDIT_QRY_V","","2","",""
"BMS_CREDIT_SUPPLY_INFO_DOC","","1","SUPPLY_ST_ID",""
"BMS_CREDIT_SUPPLY_INFO_DTL","","1","SUPPLY_ST_ID,SALERID",""
"BMS_CREDIT_TMP_1","临时信誉额度第一级","1","SALERID,CUSTOMID,ENTRYID",""
"BMS_CREDIT_TMP_2","临时信誉额度第二级","1","SALERID,ENTRYID",""
"BMS_CREDIT_TMP_3","临时信誉额度第三级","1","SALERID,CUSTOMID",""
"BMS_CREDIT_TMP_4","临时信誉额度第四级","1","SALERID",""
"BMS_CREDIT_TMP_5","临时信誉额度第五级","1","CUSTOMID",""
"BMS_CREDIT_TMP_6","","1","CUSTOMID,ENTRYID",""
"BMS_CREDIT_UNION_DAYS_V","","2","",""
"BMS_CREDIT_UNION_QRY_V","","2","",""
"BMS_CREDIT_UNION_V","","2","",""
"BMS_CREDITDAYS_EXEC_ORDER","信誉天数执行顺序","1","ORDERID",""
"BMS_CREDITDAYS_LEVEL_1","正式信誉天数第一级","1","SALERID,CUSTOMID,ENTRYID",""
"BMS_CREDITDAYS_LEVEL_2","正式信誉天数第二级","1","SALERID,ENTRYID",""
"BMS_CREDITDAYS_LEVEL_3","正式信誉天数第三级","1","SALERID,CUSTOMID",""
"BMS_CREDITDAYS_LEVEL_4","正式信誉天数第四级","1","SALERID",""
"BMS_CREDITDAYS_LEVEL_5","正式信誉天数第五级","1","CUSTOMID",""
"BMS_CREDITDAYS_LEVEL_6","","1","CUSTOMID,ENTRYID",""
"BMS_CREDITDAYS_TMP_1","临时信誉天数第一级","1","SALERID,CUSTOMID,ENTRYID",""
"BMS_CREDITDAYS_TMP_2","临时信誉天数第二级","1","SALERID,ENTRYID",""
"BMS_CREDITDAYS_TMP_3","临时信誉天数第三级","1","SALERID,CUSTOMID",""
"BMS_CREDITDAYS_TMP_4","临时信誉天数第四级","1","SALERID",""
"BMS_CREDITDAYS_TMP_5","临时信誉天数第五级","1","CUSTOMID",""
"BMS_CREDITDAYS_TMP_6","","1","CUSTOMID,ENTRYID",""
"BMS_CREDITDAYS_UNION_QRY_V","","2","",""
"BMS_CREDITDAYS_UNION_V","","2","",""
"BMS_CUS_DISCOUNT_DEF","客户折扣定义表","1","CUSDISCDEFID",""
"BMS_CUS_DISCOUNT_DEF_V","客户折扣定义视图","2","",""
"BMS_CWS_CART","","1","CARTID",""
"BMS_CWS_CART_V","","2","",""
"BMS_CWS_CONDTL_QRY_V","","2","",""
"BMS_DIRECT_SA_DOC","存厂直拨开票总单","1","DOCID",""
"BMS_DIRECT_SA_DOC_V","存厂直拨开票总单","2","",""
"BMS_DIRECT_SA_DTL","存厂直拨开票细单","1","DTLID",""
"BMS_DIRECT_SA_DTL_V","存厂直拨开票细单","2","",""
"BMS_ST_IO_DTL_V","出入库细单视图","2","",""
"BMS_ST_IO_INIT","初始化入库单","1","INITID",""
"BMS_ST_IO_INIT_V","初始化入库单视图","2","",""
"BMS_ST_IO_UNION_V","","2","",""
"BMS_ST_MATCHAREA","","1","MATCHAREAID",""
"BMS_ST_MATCHAREA_V","","2","",""
"BMS_ST_MATCHBIT","配发区域表","1","MATCHBITID",""
"BMS_ST_MATCHBIT_V","","2","",""
"BMS_ST_MV_POS_GOODS","货品缺省货位表","1","GOODSID,STORAGEID",""
"BMS_ST_MV_POS_GOODS_V","","2","",""
"BMS_ST_MV_POS_V","","2","",""
"BMS_ST_PART_OUT_V","","2","",""
"BMS_ST_QRY_REM_SUM_V","","2","",""
"BMS_ST_QTY_CUT","盘点表","1","CUTID",""
"BMS_ST_QTY_CUT_POS","","1","CUTID,POSID",""
"BMS_ST_QTY_CUT_V","盘点表视图","2","",""
"BMS_ST_QTY_DTL","盘点明细表","1","CUTDTLID",""
"BMS_ST_QTY_DTL_V","盘点表细单视图","2","",""
"BMS_ST_QTY_LST","当前库存表","1","GOODSID,GOODSDETAILID,STORAGEID,BATCHID,LOTID,POSID,GOODSSTATUSID",""
"BMS_ST_QTY_LST_V","当前库存视图","2","",""
"BMS_ST_QTY_REAL","实盘录入明细表","1","CUTREALID",""
"BMS_ST_QTY_REAL_V","实盘录入明细视图","2","",""
"RETAIL_SVCARD_RECHARGE_DTL","","1","RECHARGEDTLID",""
"RETAIL_SVCARD_RECHARGE_DTL_V","充值明细表","2","",""
"BMS_ST_RECEIVE_GOODS_DTL_TMP","","1","",""
"WEB_OPLOG","","1","LOGID",""
"BMS_ST_RECEIVE_GOODSQTY_V","","2","",""
"BMS_ST_REM_QTY","保管账余额表","1","USEMM,STORAGEID,GOODSID",""
"BMS_ST_RG_DOC","收货单","1","RGID",""
"BMS_ST_RG_DOC_V","收货单视图","2","",""
"BMS_ST_RG_DTL","收货细单","1","RGDTLID",""
"BMS_ST_RG_DTL_QRY_V","","2","",""
"BMS_ST_RG_DTL_V","收货细单视图","2","",""
"DEBUG_COST","","1","",""
"GSP_ENTRY_GOODS_APPROVE","","1","APPROVEID",""
"PUB_ENTRY_GOODS","","1","ENTRYGOODSID",""
"BMS_ST_RG_REFUSE","不合格收货信息表","1","REFID",""
"BMS_ST_RG_REFUSE_V","不合格收货信息视图","2","",""
"BMS_ST_SET","发货保管账集合表","1","STSETID",""
"BMS_ST_SET_DTL","发货保管账集合细单表","1","STSETDTLID",""
"BMS_ST_SET_DTL_V","发货保管账集合细单视图","2","",""
"BMS_ST_SET_V","发货保管账集合视图","2","",""
"BMS_ST_STGOOGS_SUM","","2","",""
"BMS_ST_STGOOGS_SUM_V","","2","",""
"BMS_ST_STOREHOUSE","仓房表","1","STHOUSEID",""
"BMS_ST_SUM_QTY","保管账发生额表","1","GOODSID,STORAGEID,USEMM",""
"BMS_ST_WHOLE_OUT_V","","2","",""
"BMS_STFIX_V","配货视图","2","",""
"BMS_STHOUSE_V","仓房视图","2","",""
"BMS_STIO_LOT_UNIT_V","","2","",""
"BMS_STORAGE_WARN_V","保管帐库存下限报警视图","2","",""
"BMS_STORER_POS","货位定义表","1","POSID",""
"BMS_STORER_POS_V","货位视图","2","",""
"BMS_STQTY_IGNORELIMIT_V","","2","",""
"BMS_STQTY_SUM_QUERY_V","出入库单联合视图","2","",""
"BMS_STQTY_SUM_V","可销库存视图","2","",""
"BMS_STQTY_UNION_V","出入库联合视图","2","",""
"BMS_SU_CON_DOC","进货合同总单","1","SUCONID",""
"BMS_SU_CON_DOC_V","进货合同总单视图","2","",""
"BMS_SU_CON_DTL","进货合同细单","1","SUCONDTLID",""
"BMS_SU_CON_DTL_V","进货合同细单视图","2","",""
"BMS_SU_CON_DTLQRY_V","进货合同查询明细视图","2","",""
"BMS_SU_CON_IMP_TMP","","1","IMPID",""
"BMS_SU_DEALING_GOODS_PRICE_V","","2","",""
"BMS_SU_DEALING_GOODS_SADTL_V","","2","",""
"BMS_SU_DEALING_GOODS_SUDTL_V","","2","",""
"BMS_SU_DEALING_ST_QTY_LST_V","","2","",""
"BMS_SU_DEALING_STQTY_FB_V","","2","",""
"BMS_SU_DOC","进货总单","1","SUDOCID",""
"BMS_SU_DOC_TICK_V","","2","",""
"BMS_SU_DOC_V","进货总单视图","2","",""
"BMS_SU_DOCTOPAY_QRY_V","","2","",""
"BMS_SU_DTL","进货细单","1","SUDOCDTLID",""
"BMS_SU_DTL_QRY_HOV_V","","2","",""
"BMS_SU_DTL_QRY_V","进货单明细视图","2","",""
"BMS_SU_DTL_TICK_V","","2","",""
"BMS_SU_DTL_TMP","待勾兑进货细单","1","SUDOCDTLID",""
"BMS_SU_DTL_V","进货细单视图","2","",""
"BMS_SU_GDS_COMM","货源评价","1","SEQID",""
"BMS_SU_GDS_COMM_ONE_V","","2","",""
"BMS_SU_GDS_COMM_V","","2","",""
"BMS_SU_GDSRES_LST","进货货源信息","1","GDSRESID",""
"BMS_SU_GDSRES_LST_V","进货货源信息视图","2","",""
"BMS_SU_GENPLAN_V","生成采购计划的视图","2","",""
"BMS_SU_HOV_V","","2","",""
"BMS_SU_IMP_TMP","期初进货单导入临时表","1","TMPID","期初进货单导入临时表"
"BMS_SU_INV_INFO_V","供应商发票信息视图","2","",""
