"TABLE_NAME","COLUMN_NAME","CNTITLE","CNNAME","DATA_TYPE","DATA_LENGTH","DATA_PRECISION","DATA_SCALE","IS_PK"
"A_HTS_TMP","GDTHTJ","","","NUMBER","22","","","N"
"A_HTS_TMP","SFKT","","","NUMBER","22","","","N"
"A_HTS_TMP","YYJKFS","","","NUMBER","22","","","N"
"BACK20160229","CMDID","生产任务单ID","生产任务单ID","NUMBER","22","10","0","N"
"BACK20160229","CMDMATID","","","NUMBER","22","10","0","N"
"BACK20160229","MGOODSID","","","NUMBER","22","10","0","N"
"BACK20160229","MGOODSDTLID","","","NUMBER","22","10","0","N"
"BACK20160229","MGOODSQTY","","","NUMBER","22","20","10","N"
"BACK20160229","MGOODSRQTY","","","NUMBER","22","20","10","N"
"BACK20160229","MQTYPERUNIT","","","NUMBER","22","20","10","N"
"BACK20160229","MRQTYPERUNIT","","","NUMBER","22","20","10","N"
"BACK20160229","MQTYACC","","","NUMBER","22","20","10","N"
"BACK20160229","MQTYACC_REM","","","NUMBER","22","10","0","N"
"BACK20160229","PRINTNO","打印号","打印号","VARCHAR2","20","","","N"
"BACK20160229","PRINTLINE","打印行号","打印行号","NUMBER","22","5","0","N"
"BACK20160229","BOMDTLID","","","NUMBER","22","10","0","N"
"BACK20160229","LOTID","批号id","批号id","NUMBER","22","10","0","N"
"BACK20160229","SCANSTATUS","","","NUMBER","22","10","0","N"
"BAK_ECODE_RECORD_20230425","RECORDID","","","NUMBER","22","10","0","N"
"BAK_ECODE_RECORD_20230425","ECODE","","","VARCHAR2","100","","","N"
"BAK_ECODE_RECORD_20230425","CREDATE","","","DATE","7","","","N"
"BAK_ECODE_RECORD_20230425","EXPFLAG","","","NUMBER","22","1","0","N"
"BAK_ECODE_RECORD_20230425","SOURCEID","","","NUMBER","22","10","0","N"
"BAK_ECODE_RECORD_20230425","INPUTMANID","","","NUMBER","22","10","0","N"
"BAK_ECODE_RECORD_20230425","EXPDATE","","","DATE","7","","","N"
"BAK_ECODE_RECORD_20230425","EXPMANID","","","NUMBER","22","10","0","N"
"BAK_ECODE_RECORD_20230425","GOODSID","","","NUMBER","22","10","0","N"
"BAK_ECODE_RECORD_20230425","COMEFROM","","","NUMBER","22","2","0","N"
"BAK_ECODE_RECORD_20230425","ENTRYID","","","NUMBER","22","10","0","N"
"BAK_ECODE_RECORD_20230425","COMPANYID","","","NUMBER","22","10","0","N"
"BAK_ECODE_RECORD_20230425","MEMO","","","VARCHAR2","200","","","N"
"BAK_ECODE_RECORD_20230425","TORETROSPECTDATE","","","DATE","7","","","N"
"BAK_ECODE_RECORD_20230425","TORETROSPECTFLAG","","","NUMBER","22","1","0","N"
"BAK_NPBUSI_YB_NS_LEDGER_DOC","DOCID","","","NUMBER","22","10","0","N"
"BAK_NPBUSI_YB_NS_LEDGER_DOC","PLACEPOINTID","","","NUMBER","22","10","0","N"
"BAK_NPBUSI_YB_NS_LEDGER_DOC","SETL_OPTINS","","","VARCHAR2","30","","","N"
"BAK_NPBUSI_YB_NS_LEDGER_DOC","STMT_BEGNDATE","","","DATE","7","","","N"
"BAK_NPBUSI_YB_NS_LEDGER_DOC","STMT_ENDDATE","","","DATE","7","","","N"
"BAK_NPBUSI_YB_NS_LEDGER_DOC","MEDFEE_SUMAMT","","","NUMBER","22","16","2","N"
"BAK_NPBUSI_YB_NS_LEDGER_DOC","FUND_PAY_SUMAMT","","","NUMBER","22","16","2","N"
"BAK_NPBUSI_YB_NS_LEDGER_DOC","CASH_PAYAMT","","","NUMBER","22","16","2","N"
"BAK_NPBUSI_YB_NS_LEDGER_DOC","FIXMEDINS_SETL_CNT","","","NUMBER","22","10","0","N"
"BAK_NPBUSI_YB_NS_LEDGER_DOC","STATUS","","","NUMBER","22","2","0","N"
"BAK_NPBUSI_YB_NS_LEDGER_DOC","STMT_RSLT_DSCR","","","VARCHAR2","200","","","N"
"BAK_NPBUSI_YB_NS_LEDGER_DOC","STMT_RSLT","","","NUMBER","22","2","0","N"
"BAK_NPBUSI_YB_NS_LEDGER_DOC","INSUTYPE","","","VARCHAR2","10","","","N"
"BAK_NPBUSI_YB_NS_LEDGER_DOC","CLR_TYPE","","","VARCHAR2","10","","","N"
"BAK_NPBUSI_YB_NS_LEDGER_DOC","ACCT_PAY","","","NUMBER","22","16","2","N"
"BAK_NPBUSI_YB_NS_LEDGER_DOC","YBID","","","VARCHAR2","10","","","N"
"BAK_NPBUSI_YB_NS_LEDGER_DOC","CREATE_DATE","","","DATE","7","","","N"
"BAK_NPBUSI_YB_NS_LEDGER_DOC","EMPLOYEENAME","","","VARCHAR2","50","","","N"
"BAK_NPBUSI_YB_NS_LEDGER_DOC","CREATE_USER_ID","","","VARCHAR2","50","","","N"
"BAK_NPBUSI_YB_NS_LEDGER_DTL","DOCID","","","NUMBER","22","10","0","N"
"BAK_NPBUSI_YB_NS_LEDGER_DTL","PSN_NO","","","VARCHAR2","30","","","N"
"BAK_NPBUSI_YB_NS_LEDGER_DTL","MDTRT_ID","","","VARCHAR2","30","","","N"
"BAK_NPBUSI_YB_NS_LEDGER_DTL","SETL_ID","","","VARCHAR2","30","","","N"
"BAK_NPBUSI_YB_NS_LEDGER_DTL","MSGID","","","VARCHAR2","30","","","N"
"BAK_NPBUSI_YB_NS_LEDGER_DTL","STMT_RSLT","","","VARCHAR2","6","","","N"
"BAK_NPBUSI_YB_NS_LEDGER_DTL","REFD_SETL_FLAG","","","VARCHAR2","4","","","N"
"BAK_NPBUSI_YB_NS_LEDGER_DTL","MEMO","","","VARCHAR2","500","","","N"
"BAK_NPBUSI_YB_NS_LEDGER_DTL","DTLID","","","NUMBER","22","20","0","N"
"BAK_NPBUSI_YB_NS_LEDGER_DTL","YBID","","","VARCHAR2","30","","","N"
"BAK_NPBUSI_YB_SETTLE_INFO1108","INFOID","","","NUMBER","22","10","0","N"
"BAK_NPBUSI_YB_SETTLE_INFO1108","RSAID","","","NUMBER","22","10","0","N"
"BAK_NPBUSI_YB_SETTLE_INFO1108","YBID","","","NUMBER","22","10","0","N"
"BAK_NPBUSI_YB_SETTLE_INFO1108","ITEMNAME","","","VARCHAR2","40","","","N"
"BAK_NPBUSI_YB_SETTLE_INFO1108","ITEMVALUE","","","NUMBER","22","30","2","N"
"BAK_NPBUSI_YB_SETTLE_INFO1108","ITEMTEXT","","","VARCHAR2","100","","","N"
"BAK_NP_USER_VIEW1128","USERVIEWID","","","NUMBER","22","10","0","N"
"BAK_NP_USER_VIEW1128","USERID","","","NUMBER","22","10","0","N"
"BAK_NP_USER_VIEW1128","OPID","","","NUMBER","22","10","0","N"
"BAK_NP_USER_VIEW1128","ROLEID","","","NUMBER","22","10","0","N"
"BAK_NP_USER_VIEW1128","SCHEMENAME","","","VARCHAR2","200","","","N"
"BAK_NP_USER_VIEW1128","ISDEFAULT","","","NUMBER","22","1","0","N"
"BAK_NP_USER_VIEW1128","LASTMODIFY","","","NUMBER","22","28","0","N"
"BAK_NP_USER_VIEW12027","USERVIEWID","","","NUMBER","22","10","0","N"
"BAK_NP_USER_VIEW12027","USERID","","","NUMBER","22","10","0","N"
"BAK_NP_USER_VIEW12027","OPID","","","NUMBER","22","10","0","N"
"BAK_NP_USER_VIEW12027","ROLEID","","","NUMBER","22","10","0","N"
"BAK_NP_USER_VIEW12027","SCHEMENAME","","","VARCHAR2","200","","","N"
"BAK_NP_USER_VIEW12027","ISDEFAULT","","","NUMBER","22","1","0","N"
"BAK_NP_USER_VIEW12027","LASTMODIFY","","","NUMBER","22","28","0","N"
"BAK_NP_USER_VIEW_DTL1128","USERVIEWDTLID","","","NUMBER","22","10","0","N"
"BAK_NP_USER_VIEW_DTL1128","USERVIEWID","","","NUMBER","22","10","0","N"
"BAK_NP_USER_VIEW_DTL1128","CLASSNAME","","","VARCHAR2","200","","","N"
"BAK_NP_USER_VIEW_DTL1128","COLNAME","","","VARCHAR2","50","","","N"
"BAK_NP_USER_VIEW_DTL1128","COLWIDTH","","","NUMBER","22","4","0","N"
"BAK_NP_USER_VIEW_DTL1128","ISSHOW","","","NUMBER","22","1","0","N"
"BAK_NP_USER_VIEW_DTL1128","ORDERS","","","NUMBER","22","5","0","N"
"BAK_NP_USER_VIEW_DTL12027","USERVIEWDTLID","","","NUMBER","22","10","0","N"
"BAK_NP_USER_VIEW_DTL12027","USERVIEWID","","","NUMBER","22","10","0","N"
"BAK_NP_USER_VIEW_DTL12027","CLASSNAME","","","VARCHAR2","200","","","N"
"BAK_NP_USER_VIEW_DTL12027","COLNAME","","","VARCHAR2","50","","","N"
"BAK_NP_USER_VIEW_DTL12027","COLWIDTH","","","NUMBER","22","4","0","N"
"BAK_NP_USER_VIEW_DTL12027","ISSHOW","","","NUMBER","22","1","0","N"
"BAK_NP_USER_VIEW_DTL12027","ORDERS","","","NUMBER","22","5","0","N"
"BAK_NP_USER_VIEW_EXPR1128","USERVIEWEXPRID","","","NUMBER","22","10","0","N"
"BAK_NP_USER_VIEW_EXPR1128","USERVIEWID","","","NUMBER","22","10","0","N"
"BAK_NP_USER_VIEW_EXPR1128","CLASSNAME","","","VARCHAR2","200","","","N"
"BAK_NP_USER_VIEW_EXPR1128","ORDEREXPR","","","VARCHAR2","500","","","N"
"BAK_PUB_ENTRY_GOODS682","ENTRYGOODSID","","","NUMBER","22","10","0","N"
"BAK_PUB_ENTRY_GOODS682","GOODSID","品种ID","品种ID","NUMBER","22","10","0","N"
"BAK_PUB_ENTRY_GOODS682","ENTRYID","核算单元ID","核算单元ID","NUMBER","22","10","0","N"
"BAK_PUB_ENTRY_GOODS682","GSPUSESTATUS","首营审批状态","首营审批状态","NUMBER","22","2","0","N"
"BAK_PUB_ENTRY_GOODS682","BMSUSESTATUS","业务审批状态","业务审批状态","NUMBER","22","2","0","N"
"BAK_PUB_ENTRY_GOODS682","USESTATUS","总单状态","总单状态","NUMBER","22","2","0","N"
"BAK_PUB_ENTRY_GOODS682","KEYCONSERVEFLAG","","","NUMBER","22","1","0","N"
"BAK_PUB_ENTRY_GOODS682","TOINVDAYSWARN","近效期提醒天数","近效期提醒天数","NUMBER","22","5","0","N"
"BAK_PUB_ENTRY_GOODS682","FIRSTSUDATE","","","DATE","7","","","N"
"BAK_PUB_ENTRY_GOODS682","FIRSTSUDAYS","","","NUMBER","22","5","0","N"
"BAK_PUB_ENTRY_GOODS682","PHYCONSERVEDAYS","","","NUMBER","22","5","0","N"
"BAK_PUB_ENTRY_GOODS682","KEYSPHYCONSERVEDAYS","","","NUMBER","22","5","0","N"
"BAK_PUB_ENTRY_GOODS682","FIRSTAPPROVEDATE","","","DATE","7","","","N"
"BAK_PUB_ENTRY_GOODS682","SELLATTRIBUTE","","","VARCHAR2","300","","","N"
"BAK_PUB_ENTRY_GOODS682","ISGOVFLAG","","","NUMBER","22","2","0","N"
"BAK_PUB_ENTRY_GOODS682","STRATEGYFLAG","","","NUMBER","22","2","0","N"
"BAK_PUB_ENTRY_GOODS682","GOODSCLASS","货品分类","货品分类","NUMBER","22","10","0","N"
"BAK_PUB_ENTRY_GOODS682","PRINTCLASS","","","NUMBER","22","2","0","N"
"BAK_PUB_ENTRY_GOODS682","GOODSINTEGRATION","","","VARCHAR2","300","","","N"
"BAK_PUB_ENTRY_GOODS682","PAYMETHOD","缺省付款策略","缺省付款策略","NUMBER","22","2","0","N"
"BAK_PUB_ENTRY_GOODS682","PAYLIMIT","付款控制天数","付款控制天数","NUMBER","22","10","0","N"
"BAK_PUB_ENTRY_GOODS682","BIDPERIOD","中标期次","中标期次","VARCHAR2","300","","","N"
"BAK_PUB_ENTRY_GOODS682","ISBASEMEDIC","","","NUMBER","22","2","0","N"
"BAK_PUB_ENTRY_GOODS682","ISHEALTHCARE","是否医保单位","是否医保单位","NUMBER","22","2","0","N"
"BAK_PUB_ENTRY_GOODS682","HEALTHCARENO","","","VARCHAR2","50","","","N"
"BAK_PUB_ENTRY_GOODS682","LASTSALESDATE","","","DATE","7","","","N"
"BAK_PUB_ENTRY_GOODS682","LASTSALESDTLID","","","NUMBER","22","10","0","N"
"BAK_PUB_ENTRY_GOODS682","LASTSUDATE","","","DATE","7","","","N"
"BAK_PUB_ENTRY_GOODS682","LASTSUDOCDTLID","","","NUMBER","22","10","0","N"
"BAK_PUB_ENTRY_GOODS682","INVOICENAME","","","VARCHAR2","200","","","N"
"BAK_PUB_ENTRY_GOODS682","ENTRYMEMO","","","VARCHAR2","2000","","","N"
"BAK_PUB_ENTRY_GOODS682","POLICYNO","","","VARCHAR2","100","","","N"
"BAK_PUB_ENTRY_GOODS682","ISPOLICY","","","NUMBER","22","1","0","N"
"BAK_PUB_ENTRY_GOODS682","POLICYNAME","","","VARCHAR2","100","","","N"
"BAK_PUB_ENTRY_GOODS682","INVOICEITEM","","","NUMBER","22","1","0","N"
"BAK_PUB_ENTRY_GOODS682","DISCOUNTUPLIMIT","","","NUMBER","22","10","3","N"
"BAK_PUB_ENTRY_GOODS682","PRICETAGFTYPE","","","NUMBER","22","1","0","N"
"BAK_PUB_ENTRY_GOODS682","PARNFLAG","","","NUMBER","22","1","0","N"
"BAK_PUB_ENTRY_GOODS682","PTOLEVEL","","","NUMBER","22","2","0","N"
"BAK_PUB_ENTRY_GOODS682","GOODSSUTYPE","","","NUMBER","22","2","0","N"
"BAK_PUB_ENTRY_GOODS682","ISPRECIOUS","","","NUMBER","22","1","0","N"
"BAK_PUB_ENTRY_GOODS682","GETMONEYLEVEL","","","VARCHAR2","20","","","N"
"BAK_PUB_ENTRY_GOODS682","OTCFLAG","otc标志","otc标志","NUMBER","22","1","0","N"
"BAK_PUB_ENTRY_GOODS682","MINREQGOODSQTY","","","NUMBER","22","16","6","N"
"BAK_PUB_ENTRY_GOODS682","BIGPACKQTY","","","NUMBER","22","16","6","N"
"BAK_PUB_ENTRY_GOODS682","LENGTH","","","NUMBER","22","10","4","N"
"BAK_PUB_ENTRY_GOODS682","WIDTH","","","NUMBER","22","10","4","N"
"BAK_PUB_ENTRY_GOODS682","HEIGHT","","","NUMBER","22","10","4","N"
"BAK_PUB_ENTRY_GOODS682","INTEGERNX","","","NUMBER","22","20","10","N"
"BAK_PUB_ENTRY_GOODS682","LASTSUPRICE","最后一次购进价格","最后一次购进价格","NUMBER","22","20","10","N"
"BAK_PUB_ENTRY_GOODS682","ONLYPRESCRIPTION","","","NUMBER","22","1","0","N"
"BAK_PUB_ENTRY_GOODS682","ZX_GOODSATTRIBUTE","","","NUMBER","22","2","0","N"
"BAK_PUB_ENTRY_GOODS682","USAGEANDDOSAGE","","","VARCHAR2","200","","","N"
"BAK_PUB_ENTRY_GOODS682","COURSEOFTREATMENT","","","NUMBER","22","10","0","N"
"BAK_PUB_ENTRY_GOODS682","DTCSTATUS","","","NUMBER","22","2","0","N"
"BAK_PUB_ENTRY_GOODS682","DTCFLAG","DTC标志","DTC标志","NUMBER","22","1","0","N"
"BAK_PUB_ENTRY_GOODS682","DTCMEMO","","","VARCHAR2","200","","","N"
"BAK_PUB_ENTRY_GOODS682","MAXQTYREQUEST","","","NUMBER","22","10","0","N"
"BAK_PUB_ENTRY_GOODS682","MACHINERYWEBFLAG","","","NUMBER","22","2","0","N"
"BAK_PUB_ENTRY_GOODS682","GOODSTYPES","","","NUMBER","22","2","0","N"
"BAK_PUB_ENTRY_GOODS682","PRESCRIPTIONFLAG","协定处方标志","协定处方标志","NUMBER","22","2","0","N"
"BAK_PUB_ENTRY_GOODS682","HARSEASON","","","VARCHAR2","200","","","N"
"BAK_PUB_ENTRY_GOODS682","STORAGETYPE","","","VARCHAR2","200","","","N"
"BAK_PUB_ENTRY_GOODS682","GMPFLAG","GMP标志","GMP标志","NUMBER","22","1","0","N"
"BAK_PUB_ENTRY_GOODS682","MATERIALCODE","","","VARCHAR2","200","","","N"
"BAK_PUB_ENTRY_GOODS682","GRADE","等级","等级","VARCHAR2","200","","","N"
"BAK_PUB_ENTRY_GOODS682","SASEASON","","","VARCHAR2","200","","","N"
"BAK_PUB_ENTRY_GOODS682","STANDARDWAY","","","VARCHAR2","2000","","","N"
"BAK_PUB_ENTRY_GOODS682","ZX_QUALITY","","","VARCHAR2","400","","","N"
"BAK_PUB_ENTRY_GOODS682","YLFGMPFLAG","","","NUMBER","22","2","0","N"
"BAK_PUB_ENTRY_GOODS682","DLDYJBYWLB","","","NUMBER","22","","","N"
"BAK_PUB_ENTRY_GOODS682","TODATE","","","DATE","7","","","N"
"BAK_PUB_ENTRY_GOODS682","SYS_MODIFYDATE","","","DATE","7","","","N"
"BAK_PUB_ENTRY_GOODS682","ZX_SCXKZH","生产许可证号","生产许可证号","VARCHAR2","100","","","N"
"BAK_PUB_ENTRY_GOODS682","XMGSSAPZ","","","VARCHAR2","200","","","N"
"BAK_PUB_ENTRY_GOODS682","TCPTSAPZ","","","VARCHAR2","200","","","N"
"BAK_PUB_ENTRY_GOODS682","HPJHZT","","","NUMBER","22","","","N"
"BAK_PUB_ENTRY_GOODS682","SKCODE","","","VARCHAR2","25","","","N"
"BAK_PUB_ENTRY_GOODS682","FUNCTION","","","VARCHAR2","200","","","N"
"BAK_PUB_ENTRY_GOODS682","USEFLAG","生产属性","生产属性","NUMBER","22","2","0","N"
"BAK_PUB_ENTRY_GOODS682","LEVELNUM","","","VARCHAR2","10","","","N"
"BAK_PUB_ENTRY_GOODS682","ZX_WDFW","","","VARCHAR2","200","","","N"
"BAK_PUB_ENTRY_GOODS682","ZX_ZBTYPE","","","VARCHAR2","50","","","N"
"BAK_PUB_ENTRY_GOODS682","ZX_YBTYPE","","","VARCHAR2","50","","","N"
"BAK_PUB_ENTRY_GOODS682","ZX_LEVELFLAG","","","NUMBER","22","2","0","N"
"BAK_PUB_ENTRY_GOODS682","CCKQ","储存库区","储存库区","VARCHAR2","100","","","N"
"BAK_PUB_ENTRY_GOODS682","YSSX","","","VARCHAR2","100","","","N"
"BAK_PUB_ENTRY_GOODS682","PRODUCT_INVALIDDATE","","","DATE","7","","","N"
"BAK_PUB_ENTRY_GOODS682","GMP_INVALIDDATE","","","DATE","7","","","N"
"BAK_PUB_ENTRY_GOODS682","SPRING","","","NUMBER","22","","","N"
"BAK_PUB_ENTRY_GOODS682","SUMMER","","","NUMBER","22","","","N"
"BAK_PUB_ENTRY_GOODS682","AUTUMN","","","NUMBER","22","","","N"
"BAK_PUB_ENTRY_GOODS682","WINTER","","","NUMBER","22","","","N"
"BAK_PUB_ENTRY_GOODS682","SPZT_XP","","","NUMBER","22","","","N"
"BAK_PUB_ENTRY_GOODS682","SPZT_TTXC","","","NUMBER","22","","","N"
"BAK_PUB_ENTRY_GOODS682","SPZT_TTTC","","","NUMBER","22","","","N"
"BAK_PUB_ENTRY_GOODS682","SPZT_TTTF","","","NUMBER","22","","","N"
"BAK_PUB_ENTRY_GOODS682","SPZT_CJKH","","","NUMBER","22","","","N"
"BAK_PUB_ENTRY_GOODS682","SPZT_CGP","","","NUMBER","22","","","N"
"BAK_PUB_ENTRY_GOODS682","SPZT_MDGXP","","","NUMBER","22","","","N"
"BAK_PUB_ENTRY_GOODS682","ZX_DTP","","","NUMBER","22","","","N"
"BAK_PUB_ENTRY_GOODS682","SPZT_ZP","","","NUMBER","22","","","N"
"BAK_PUB_ENTRY_GOODS682","ZX_LBBZ","类别备注","类别备注","NUMBER","22","","","N"
"BAK_PUB_ENTRY_GOODS682","ZX_ZYP","","","NUMBER","22","","","N"
"BAK_PUB_ENTRY_GOODS682","ZX_RJXL","","","NUMBER","22","10","2","N"
"BAK_PUB_ENTRY_GOODS682","SPZT_BBPZ","","","NUMBER","22","","","N"
"BAK_PUB_ENTRY_GOODS682","SPZT_ZDPZ","","","NUMBER","22","","","N"
"BAK_PUB_ENTRY_GOODS682","SPZT_ZTPZ","","","NUMBER","22","","","N"
"BAK_PUB_ENTRY_GOODS682","SPZT_ZLPZ","","","NUMBER","22","","","N"
"BAK_PUB_ENTRY_GOODS682","SPZT_TCP","","","NUMBER","22","","","N"
"BAK_PUB_ENTRY_GOODS682","ZX_SSXKCYR","上市许可持有人/医疗器械注册人/备案人","上市许可持有人/医疗器械注册人/备案人","VARCHAR2","1000","","","N"
"BAK_PUB_ENTRY_GOODS682","DTP","","","NUMBER","22","","","N"
"BAK_PUB_ENTRY_GOODS682","ZX_SFSM","是否扫码","是否扫码","NUMBER","22","1","0","N"
"BAK_PUB_ENTRY_GOODS682","STOPMANID","","","NUMBER","22","10","0","N"
"BAK_PUB_ENTRY_GOODS682","STOPDATE","","","DATE","7","","","N"
"BAK_PUB_ENTRY_GOODS682","ZX_SSFL","","","VARCHAR2","50","","","N"
"BCB","A","","","NUMBER","22","","","N"
"BCB","B","","","NVARCHAR2","200","","","N"
"BCK","INOUTID","出库单ID","出库单ID","NUMBER","22","10","0","N"
"BCK","TRDTLID","调度细单ID","调度细单ID","NUMBER","22","10","0","N"
"BCK","PRINTNO","打印号","打印号","VARCHAR2","20","","","N"
"BCK","PRINTLINE","打印行号","打印行号","NUMBER","22","5","0","N"
"BCK","CREDATE","制单日期","制单日期","DATE","7","","","N"
"BCK","COMEFROM","赠品策略来源","赠品策略来源","NUMBER","22","2","0","N"
"BCK","SOURCETABLE","源单","源单","NUMBER","22","2","0","N"
"BCK","SOURCEID","源单ID","源单ID","NUMBER","22","10","0","N"
"BCK","COMPANYID","生产厂商ID","生产厂商ID","NUMBER","22","10","0","N"
"BCK","COMPANYOPCODE","来货单位操作码","来货单位操作码","VARCHAR2","40","","","N"
"BCK","COMPANYNAME","生产部门名称","生产部门名称","VARCHAR2","100","","","N"
"BCK","KEEPDATE","","","DATE","7","","","N"
"BCK","KEEPMANID","","","NUMBER","22","10","0","N"
"BCK","KEEPMANNAME","","","VARCHAR2","40","","","N"
"BCK","GOODSID","品种ID","品种ID","NUMBER","22","10","0","N"
"BCK","OPCODE","操作码","操作码","VARCHAR2","140","","","N"
"BCK","GOODSNO","赠品编码","赠品编码","VARCHAR2","40","","","N"
"BCK","GOODSNAME","赠品商品名称","赠品商品名称","VARCHAR2","500","","","N"
"BCK","CURRENCYNAME","赠品商用名","赠品商用名","VARCHAR2","200","","","N"
"BCK","GOODSTYPE","赠品规格","赠品规格","VARCHAR2","400","","","N"
"BCK","PRODAREA","赠品产地","赠品产地","VARCHAR2","40","","","N"
